DateTime,Waterford,Galway,Donegal,Tipperary,Cork,Limerick,Longford,Roscommon,Kerry,Wexford,Clare,Kilkenny,Mayo,Cavan,Kildare,Meath,Westmeath,Wicklow,Laois,Sligo,Dublin,Offaly,Louth,Carlow,Leitrim,Monaghan
2017-11-25 00:11:01,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:12:15,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:13:27,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:14:39,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:16:01,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:17:17,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:18:41,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:19:52,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:21:05,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:22:16,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:23:42,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:25:01,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:26:15,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:27:28,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:28:43,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:29:59,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:31:19,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:32:30,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:33:44,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:34:56,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:36:18,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:37:33,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:38:49,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:40:06,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:41:26,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:42:42,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:43:57,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:45:14,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:46:31,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:47:42,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:48:54,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:50:10,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:51:24,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:52:37,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:53:49,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:55:01,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:56:21,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:57:34,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 00:58:48,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 01:00:08,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
2017-11-25 01:01:22,98,86,100,87,100,94,100,100,86,97,86,84,99,100,97,100,92,100,84,100,100,92,100,97,100,100
